SYMBOL	TE_1	TE_2	TE_3	TE_4	TE_5	TE_6
BC031181	0.355353259686291	1.29820959693832	0.87787076891913	1.20658338002731	1.07920203114738	0.829309031734262
BAZ2B	-0.313097633624594	-0.790010472415724	-1.27004161751588	-1.28982553682656	-1.32473651041011	-0.975123698167063
WDR83OS	0.925589341075646	2.16707356745722	1.36633547401786	1.69627327914236	1.91303440824863	1.07105500267426
EEA1	0.0311572466529022	-1.32836461369983	-0.678644551269732	-0.710602536723163	-1.27697105666839	-0.946789340633158
PI4KA	-0.314572543471435	-0.739291405875897	-0.450153510196993	-0.702125127334224	-0.865540873794576	-1.01480493881886
KDM2A	-0.503275114747446	-1.79202297127386	-1.2572989050416	-1.71748046916547	-1.67303691518328	-1.60906777179736
2610507B11RIK	-0.158457681700252	-0.213138959715958	-0.242097287192486	-0.798664494652096	-0.68378131063684	-0.859752712695688
LMNA	-0.129314019384173	0.636140622000236	0.0386800282161059	0.274662791066406	0.515260023606357	0.365485906265507
NUP85	0.3655804255892	0.0165354329209082	-0.0637989671139569	-0.0726727404678213	0.51075589415864	-0.0643526928612922
CLTC	-0.322144783981647	-1.45549152865669	-1.2941481519327	-1.21349630838334	-1.63994033297048	-1.26357251033963
ARHGEF11	-0.2564616007389	-0.773171828822242	-0.42850558521914	-1.25411991837406	-0.950511898576988	-1.36764539561751
USP7	-0.295626261472169	-0.690019255144503	-1.06660452140934	-1.02462797890016	-1.55267190944591	-0.956317600657643
RTN3	0.216342711234234	-0.363430499366034	0.172024659518791	0.252453456185756	0.0638774553483816	0.183231477716618
TMEM259	0.37020437891701	0.592897938457807	0.826282456966376	0.47148633472229	0.567073513683025	0.725378499581443
CKAP2	-0.210236274567006	-0.699869183596922	-1.19741814470258	-0.674900026333093	-1.50160898566779	-0.981550103870945
USP22	-0.494762204972988	-0.2193099548528	-0.415232387843608	-0.407866230022744	-0.385879788853341	-0.146351039583705
GNPTAB	0.145425058598835	-0.263207741354202	0.155296638234611	-0.102224227352985	-0.210838977842101	-0.321046972715845
WAPL	0.347206759435794	-1.54880537660584	-0.998582666646978	-0.997012906009803	-1.69368478252651	-1.11426802713248
TACC2	-0.431894090103651	-0.302343328558636	-0.309227851596582	-0.455683559904893	-0.985881823705494	-0.764719214032137
ADO	0.177522856044429	0.908970935650268	0.458128254748051	0.395186501267385	0.39376758368743	0.0924906539568911
ZCWPW1	0.00600588372497374	-0.629693723789667	-0.33079549229198	-0.534318487638548	-0.729561119366691	-1.12009216452101
TXLNA	-0.0978251149143872	0.00795390584893208	-0.477076390405919	-0.113842412505764	0.229931294976313	-0.169014076732692
EIF2A	0.184490859498896	-0.834315431236274	-0.570407823535537	-0.956839810254554	-1.023503988579	-0.75827678468203
SYNE2	0.306112127255011	-0.280210700529449	-0.62216583493677	-0.894213143927656	-1.59161877221178	-1.36877942248466
AEBP2	-0.622067664690463	-0.940275862254411	-1.19446792870935	-1.34295515328994	-1.42315075544334	-1.56519549370789
PARL	0.473153659480844	0.846787843388044	0.949023614578058	1.03834625748844	1.14226847213782	1.01314617871981
AGA	0.47337527792601	0.769702464215054	0.987407886279029	0.883238645562257	0.995881477606247	0.767684923758049
ERBIN	0.220126736154043	-1.15061482557127	-0.368717425442742	-1.26611771720681	-1.47802104287771	-1.20426834885782
EPB41L1	0.174180222313284	-1.38242211402419	-1.3917104351541	-1.72849508097996	-1.75878493342414	-1.63892114767329
D8ERTD738E	0.385421349007817	1.73013630499484	1.08104644812105	1.42309073416742	1.31213623863362	1.4111435356906
SCAF1	-0.420082963670487	-0.837406843951269	-0.874208421610315	-1.16313712520948	-0.794621702518043	-1.29622251433375
MXI1	-0.184451043884855	0.698081197643617	0.028867223085724	-0.295044756673789	-0.534946358592684	0.287345196398434
ZFYVE26	-0.627901949817009	-0.781746794481211	-1.33480462824567	-1.49323518071104	-1.82876020696238	-2.00974710725984
MIEF2	0.575998732899773	1.10369826508431	1.27499458142013	1.08728905210026	0.902962929228956	1.4827332375978
TXNIP	0.177143776517317	0.079611263699626	-0.309765691893679	-0.130251768633162	-0.621348922710647	0.553115993850528
DOCK11	0.166547468171957	-1.23441036134977	-0.826360600203431	-1.01732645263739	-1.56747489462264	-1.04928657307946
MDC1	-1.06643063087382	-1.50866871826604	-1.63347851112456	-1.52421629623179	-1.42229515608763	-1.59064013348222
EHMT1	-0.195335544655597	-0.284631025192545	-0.609800552481872	-1.27676074821723	-0.916620639126906	-0.952195378333047
CTC1	-0.249735051776595	-0.45136612690145	-0.200350402990559	-0.190491501060848	0.0689489808780036	0.187415330578902
PRKAA1	-0.0607810012615605	-0.986234779507332	-0.915507227664879	-0.638590906883783	-0.913061064884801	-0.692290617392272
UTP18	0.33001434233846	-0.564418347059934	-0.579330080749309	-0.43664341242235	-0.222529797427918	-0.549429119511348
DYNC1LI2	0.0629374565261822	-0.117052939041574	-0.110062850113	-0.583662977779188	-0.592172118128785	-0.441890693836007
MRS2	0.209076268307951	0.587162977838486	0.42185703520219	0.43737907735049	0.589976868080064	0.364882890625249
SNX13	-0.275307164573707	-0.790911900558819	-0.190049719526827	-1.06885622102082	-1.27950028570711	-0.853817663167658
ESPL1	-0.385489104575546	-0.542675221548099	-0.446286409195938	-0.204373169761321	-0.454153912218089	-0.405623512937722
WDR7	-0.44975322633143	-0.915973018976315	-0.986294166867426	-1.08832854358396	-0.689030137319382	-1.11643504851385
DCAF1	-0.396978287322831	-0.7283475876969	-0.799071015767264	-0.650317526172292	-0.572653985435548	-0.868129319085904
KDM6B	-0.331552933601323	-0.957720921056774	-1.06205724461889	-0.966539690788793	-1.87404083720385	-1.39430344983218
COX17	0.901295110674513	1.363016630107	1.24600869711297	1.33099008445946	1.6894319690574	1.11963967194532
